"","2020-04-11","2020-04-13","2020-04-20","2020-04-21","2020-04-23","2020-04-25","2020-04-27","2020-04-28","2020-04-29","2020-04-30","2020-05-01","2020-05-04","2020-05-05","2020-05-06","county","population_2015","primary_city","zip"
"863",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Knox County",850,"Williamsfield",61489
"864",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Henry County",980,"Woodhull",61490
"865",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Stark County",1980,"Wyoming",61491
"866",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Fulton County",1540,"Astoria",61501
"867",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Woodford County",630,"Benson",61516
"868",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Peoria County",3200,"Brimfield",61517
"869",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Fulton County",224,"Bryant",61519
"870",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Fulton County",13350,"Canton",61520
"871",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Peoria County",10420,"Chillicothe",61523
"872",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Fulton County",286,"Dunfermline",61524
"873",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Peoria County",1080,"Edelstein",61526
"874",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Peoria County",3240,"Edwards",61528
"875",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Peoria County",2780,"Elmwood",61529
"876",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Woodford County",5910,"Eureka",61530
"877",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Fulton County",3040,"Farmington",61531
"878",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Mason County",470,"Forest City",61532
"879",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Peoria County",2140,"Glasford",61533
"880",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Tazewell County",1510,"Green Valley",61534
"881",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Tazewell County",1730,"Groveland",61535
"882",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Peoria County",2910,"Hanna City",61536
"883",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Marshall County",2500,"Henry",61537
"884",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Peoria County",209,"Kingston Mines",61539
"885",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Marshall County",2540,"Lacon",61540
"886",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Marshall County",154,"La Rose",61541
"887",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Fulton County",3040,"Lewistown",61542
"888",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Fulton County",155,"Liverpool",61543
"889",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Fulton County",650,"London Mills",61544
"890",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Woodford County",630,"Lowpoint",61545
"891",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Mason County",3780,"Manito",61546
"892",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Peoria County",3790,"Mapleton",61547
"893",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Tazewell County",17570,"Morton",61550
"894",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Peoria County",259,"Mossville",61552
"895",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Fulton County",204,"Norris",61553
"896",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Tazewell County",534,"Pekin",61555
"897",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Tazewell County",0,"Pekin",61558
